unamed,None,1990,1989,1988,1987,1986,1985
"Net sales revenue and other income*""''''''''''",Unnamed: 0,8O.2,231.6,493.4,415.4,342.7,317.6
"Operating and other expenses*""'**",,36.8,181.7,244.8,227.5,223.7,221.5
"Depreciation""''''*'''*",,51.5,47.3,43.9,49.4,47.3,47.6
Earnings/(loss) before taxation and exchange gains,,/8.II,2.6,204.7,138.5,71.7,48.5
Exchange gains/llosses),,/0.51,2.5,12.91,5.7,2.3,1141
Earningsi/iossl before taxation,,/8.61,5.1,201.8,144.2,74.0,47.1
Taxation,,6.0,25.7,93.2,50.6,28.7,19.0
Net earnings/floss),,/14.61,12061.0,108.6,93.6,45.3,28.1
Dividends,,nan,nan,108.3,92.2,44.1,28.1
Earnings retained,,/14.61,12061.0,0.3,11.81,1.2,nan
Balance sheet (K million),,nan,nan,nan,nan,nan,nan
Propertx plam and equipment,,545.9,595.8,570.0,527.8,550.1,558.5
Investments and loans,,nan,nan,2.2,0.7,0.7,0.2
Current assets,,64.7,59.5,250.1,260.3,190.1,160.4
Total assets,,610.6,655.3,822.3,788.8,740.9,719.1
Shareholders' funds,,551.1,565.6,586.2,586.0,587.7,586.5
Exchange fluctuation,,nan,nan,0.2,0.3,13.21,15.91
long term liabilities,,47.7,46.9,23.7,24.8,48.1,524
Current liabilities,,II.8,42.8,212.2,177.7,108.3,86.1
Funds employed,,610.6,655.3,822.3,788.8,740.9,719.1
Production/Sales,,nan,nan,nan,nan,nan,nan
Mined,,nan,nan,nan,nan,nan,nan
Ore and waste removed (millions of rannes),,nan,33.27,89.78,83.53,79.16,73.62
Ore milled {millions of tannesl,,nan,18.52,47.69,48.20,47.89,50.D7
Ore grade,,nan,nan,nan,nan,nan,nan
Copper (per cent),,nan,0.44,0.41,041,0.42,042
Gold (grams/tonne),,nan,0.5,0.41,0.43,0.48,0.42
Produced,,nan,nan,nan,nan,nan,nan
Concentrate (thousands of dry tonnes),,nan,224.6,552.0,585.5,586.6,581.8
Contained copper (thousands of dry tonnes),,nan,68.7,166.0,178.2,178.6,175.0
Concentrate grade,,nan,nan,nan,nan,nan,nan
Copper (percent),,nan,30.1,30.1,30.4,30.5,30.1
GOld (grams/tonne),,nan,31.0,25.1,25.8,27.9,24.7
Silver (grams/tonne),,nan,91.2,87.7,86.4,85.9,79.3
Shipped,,nan,nan,nan,nan,nan,nan
Total concentrate (thousands of dry tonnes),,nan,250.8,570.8,567.6,589.4,560.0
Destination:,,nan,nan,nan,nan,nan,nan
Japan (percent),,nan,40.2,45.4,32.6,43.2,44.1
Other Asian (percent),,nan,34.3,23.4,33.5,15.4,15.7
Europe (per cent),,nan,25.5,27.7,33.9,41.4,40.2
All Other (per cent),,nan,0.0,3.5,0.0,0.0,0.0
Values,,nan,nan,nan,nan,nan,nan
Gross concentrate sales value (before treatment and refining,,nan,nan,nan,nan,nan,nan
"charges, freight etc.) (Kmillion)",,0.3,260.0,561.0,489.4,417.9,381.3
Contribution by:,,nan,nan,nan,nan,nan,nan
Copper (percent),,61,68.0,68,60,54,61
Gold (per cent),,38,31.0,30,38,44,37
Other,,nan,nan,nan,nan,nan,nan
USS/Kina exchange rate,,1.05,1.17,1.16,1.10,1.03,1.00
Average metal prices,,nan,nan,nan,nan,nan,nan
LME copper (UScl1bl,,119.8,129.0,117.9,81.0,62.3,64.3
London gold market (USS/ozi,,382.8,381.0,436.8,446.7,367.9,317.3
Return on shareholders' funds (percent),,nan,nan,18.5,16.0,7.7,4.8
Earnings per share*** (toea),,nan,nan,27.1,23.3,11.3,7.0
Dividends per fully paid share***,,nan,nan,nan,nan,nan,nan
(par value Kl.00) (toea I,,nan,nan,27.0,23.0,11.0,7.0
Number of shares issued at end of year (millions),,401,401.0,401,401,401,401
Number of shareholders at end of year,,20532,21287.0,21966,22650,24680,27117
Debt/equity ratio,,nan,nan,.002/1,.004/1,0.05/1,0.06/1
Work force at end of year,,nan,nan,nan,nan,nan,nan
Overseas,,13,330.0,610,699,706,704
National,,10,1987.0,2950,3025,2993,2948
