Importing country,Category,Quantity (in metric tons)
Japan,"Oil, metals and mineral products",4175340.721
Japan,Wood products,378327.273
Japan,Seafood products,24384.792000000005
Japan,Other,14512.076000000003
China,Wood products,4832803.041
China,"Oil, metals and mineral products",4805409.387000001
China,Seafood products,72573.14700000003
China,Other,21942.945000000014
Australia,"Oil, metals and mineral products",598167.7979999998
Australia,Other,92899.49599999988
Australia,Wood products,5604.183999999999
Australia,Seafood products,205.428
