Exporting country,Importing country,Quantity (in metric tons)
FS Micronesia,Japan,0.0
FS Micronesia,Other,72.0
FS Micronesia,"Other Asia, nes",97.0
FS Micronesia,Rep. of Korea,886.0
FS Micronesia,Thailand,0.0
Fiji,Australia,2978.0
Fiji,China,63507.0
Fiji,"China, Hong Kong SAR",43859.0
Fiji,Japan,0.0
Fiji,Other,30757.0
Fiji,"Other Asia, nes",30.0
Fiji,Rep. of Korea,7826.0
Fiji,Singapore,8879.0
Fiji,Thailand,0.0
Marshall Isds,Australia,41.0
Marshall Isds,China,583.0
Marshall Isds,Japan,64.0
Marshall Isds,Other,46008.0
Marshall Isds,Rep. of Korea,3351.0
Marshall Isds,Singapore,0.0
Marshall Isds,Thailand,29.0
Palau,Other,85.0
Palau,"Other Asia, nes",1356.0
Palau,Rep. of Korea,38.0
Papua New Guinea,Australia,590567.0
Papua New Guinea,China,3553565.0
Papua New Guinea,"China, Hong Kong SAR",102712.0
Papua New Guinea,Japan,4175276.0
Papua New Guinea,Malaysia,158046.0
Papua New Guinea,Other,105095.0
Papua New Guinea,"Other Asia, nes",1484569.0
Papua New Guinea,Rep. of Korea,586064.0
Papua New Guinea,Singapore,374244.0
Papua New Guinea,Thailand,338879.0
Samoa,Australia,627.0
Samoa,Other,135.0
Samoa,Rep. of Korea,1732.0
Samoa,Singapore,0.0
Samoa,Thailand,1.0
Solomon Isds,Australia,3489.0
Solomon Isds,China,1187754.0
Solomon Isds,"China, Hong Kong SAR",204.0
Solomon Isds,Malaysia,646.0
Solomon Isds,Other,46308.0
Solomon Isds,"Other Asia, nes",0.0
Solomon Isds,Rep. of Korea,20.0
Solomon Isds,Singapore,3.0
Solomon Isds,Thailand,0.0
