Exporting country,Importing country,"Oil, metals and mineral products",Seafood products,Wood products
Cook Islands,Austria,1.0,0.0,0.0
Cook Islands,Belarus,0.0,0.0,0.0
Cook Islands,Canada,0.0,0.0,0.0
Cook Islands,Chile,0.0,0.0,0.0
Cook Islands,China,0.0,241.0,0.0
Cook Islands,Colombia,7.0,0.0,0.0
Cook Islands,Czech Republic,8.0,0.0,0.0
Cook Islands,France,0.0,0.0,0.0
Cook Islands,Germany,0.0,0.0,0.0
Cook Islands,Indonesia,1.0,46.0,0.0
Cook Islands,Japan,0.0,1494.0,0.0
Cook Islands,Luxembourg,0.0,0.0,1.0
Cook Islands,Mauritius,5.0,0.0,0.0
Cook Islands,New Zealand,509.0,0.0,0.0
Cook Islands,Peru,0.0,40.0,0.0
Cook Islands,Poland,0.0,0.0,0.0
Cook Islands,Portugal,7.0,0.0,0.0
Cook Islands,Russian Federation,0.0,0.0,0.0
Cook Islands,Singapore,0.0,0.0,0.0
Cook Islands,Slovakia,0.0,0.0,0.0
Cook Islands,Slovenia,0.0,0.0,0.0
Cook Islands,South Africa,3.0,0.0,0.0
Cook Islands,Spain,0.0,0.0,0.0
Cook Islands,Thailand,0.0,1272.0,0.0
Cook Islands,United Kingdom,0.0,0.0,0.0
Cook Islands,United States,0.0,0.0,0.0
Federated States of Micronesia,Brazil,0.0,0.0,0.0
Federated States of Micronesia,Chile,0.0,0.0,0.0
Federated States of Micronesia,China,0.0,9563.0,0.0
Federated States of Micronesia,"China, Macao SAR",0.0,0.0,0.0
Federated States of Micronesia,France,0.0,0.0,0.0
Federated States of Micronesia,Germany,0.0,0.0,0.0
Federated States of Micronesia,Hong Kong,0.0,2.0,0.0
Federated States of Micronesia,Indonesia,0.0,2879.0,0.0
Federated States of Micronesia,Japan,0.0,3766.0,0.0
Federated States of Micronesia,Netherlands,0.0,0.0,0.0
Federated States of Micronesia,New Zealand,72.0,0.0,0.0
Federated States of Micronesia,Peru,0.0,52.0,0.0
Federated States of Micronesia,Philippines,0.0,1681.0,0.0
Federated States of Micronesia,Republic of Korea,886.0,78.0,0.0
Federated States of Micronesia,Thailand,0.0,67798.0,0.0
Federated States of Micronesia,United Kingdom,0.0,1.0,0.0
Federated States of Micronesia,United States,0.0,90.0,0.0
Fiji,American Samoa,1782.0,2575.0,0.0
Fiji,Argentina,0.0,0.0,0.0
Fiji,Armenia,0.0,0.0,0.0
Fiji,Australia,2978.0,54.0,1156.0
Fiji,Austria,0.0,0.0,0.0
Fiji,Bangladesh,3512.0,0.0,0.0
Fiji,Belgium,0.0,0.0,0.0
Fiji,Belize,0.0,0.0,0.0
Fiji,Bermuda,0.0,11.0,0.0
Fiji,Br. Virgin Isds,0.0,0.0,0.0
Fiji,Canada,0.0,24.0,17.0
Fiji,Chile,0.0,0.0,0.0
Fiji,China,63507.0,9473.0,7282.0
Fiji,Colombia,0.0,0.0,26.0
Fiji,Croatia,0.0,0.0,24.0
Fiji,Czech Republic,0.0,2.0,0.0
Fiji,Dem. Rep. Korea,0.0,0.0,0.0
Fiji,Denmark,0.0,0.0,0.0
Fiji,Dominica,0.0,0.0,83.0
Fiji,Dominican Republic,0.0,0.0,918.0
Fiji,Estonia,0.0,0.0,0.0
Fiji,Finland,0.0,0.0,0.0
Fiji,France,3.0,559.0,0.0
Fiji,French Polynesia,6.0,0.0,145.0
Fiji,Germany,0.0,28.0,0.0
Fiji,Guam,0.0,0.0,0.0
Fiji,Honduras,0.0,0.0,0.0
Fiji,Hong Kong,43859.0,48.0,474.0
Fiji,Hungary,0.0,0.0,0.0
Fiji,India,1120.0,0.0,20.0
Fiji,Indonesia,117.0,145.0,110.0
Fiji,Ireland,0.0,0.0,0.0
Fiji,Israel,0.0,0.0,26.0
Fiji,Italy,1.0,2.0,0.0
Fiji,Jamaica,0.0,0.0,14.0
Fiji,Japan,0.0,3279.0,325451.0
Fiji,Kuwait,0.0,2.0,0.0
Fiji,Malaysia,0.0,1.0,0.0
Fiji,Malta,0.0,0.0,0.0
Fiji,Mexico,0.0,0.0,0.0
Fiji,Morocco,0.0,52.0,0.0
Fiji,Namibia,0.0,5.0,0.0
Fiji,Netherlands,0.0,519.0,14.0
Fiji,New Caledonia,1999.0,0.0,0.0
Fiji,New Zealand,4384.0,772.0,794.0
Fiji,Norway,0.0,0.0,0.0
Fiji,Pakistan,0.0,56.0,0.0
Fiji,Philippines,2.0,0.0,0.0
Fiji,Poland,8.0,0.0,0.0
Fiji,Portugal,0.0,0.0,0.0
Fiji,Republic of Korea,7826.0,99.0,237.0
Fiji,Russian Federation,0.0,0.0,0.0
Fiji,Singapore,8879.0,0.0,25.0
Fiji,Slovakia,1.0,0.0,0.0
Fiji,Slovenia,0.0,0.0,0.0
Fiji,South Africa,7.0,10.0,0.0
Fiji,Spain,0.0,580.0,0.0
Fiji,Sri Lanka,78.0,107.0,0.0
Fiji,Sweden,0.0,0.0,0.0
Fiji,Switzerland,0.0,0.0,0.0
Fiji,Thailand,0.0,2466.0,1030.0
Fiji,Timor-Leste,1.0,10.0,0.0
Fiji,Turkey,0.0,0.0,0.0
Fiji,Uganda,0.0,0.0,0.0
Fiji,United Arab Emirates,6.0,0.0,37.0
Fiji,United Kingdom,0.0,25.0,0.0
Fiji,United States,875.0,11443.0,2467.0
Fiji,Vietnam,0.0,4178.0,162.0
Kiribati,Brazil,0.0,0.0,0.0
Kiribati,Canada,1.0,0.0,0.0
Kiribati,China,0.0,1471.0,0.0
Kiribati,Ecuador,0.0,785.0,0.0
Kiribati,France,0.0,0.0,0.0
Kiribati,Germany,0.0,0.0,0.0
Kiribati,Japan,0.0,1682.0,0.0
Kiribati,Philippines,204.0,8021.0,0.0
Kiribati,Republic of Korea,48.0,1131.0,0.0
Kiribati,Singapore,0.0,0.0,0.0
Kiribati,Thailand,0.0,35899.0,0.0
Kiribati,United Arab Emirates,66.0,0.0,0.0
Kiribati,United States,6.0,162.0,0.0
Marshall Islands,Australia,41.0,7.0,0.0
Marshall Islands,Brazil,24.0,0.0,0.0
Marshall Islands,Cambodia,0.0,0.0,8763.0
Marshall Islands,Chile,22.0,0.0,0.0
Marshall Islands,China,583.0,38194.0,0.0
Marshall Islands,Ecuador,31331.0,0.0,0.0
Marshall Islands,France,0.0,0.0,0.0
Marshall Islands,Germany,20.0,0.0,0.0
Marshall Islands,Ghana,242.0,0.0,0.0
Marshall Islands,Greece,1.0,0.0,0.0
Marshall Islands,Hong Kong,0.0,4.0,0.0
Marshall Islands,India,58.0,0.0,0.0
Marshall Islands,Indonesia,276.0,837.0,0.0
Marshall Islands,Israel,324.0,0.0,83.0
Marshall Islands,Japan,64.0,851.0,0.0
Marshall Islands,Kuwait,0.0,0.0,0.0
Marshall Islands,Morocco,2.0,0.0,0.0
Marshall Islands,Namibia,176.0,0.0,0.0
Marshall Islands,New Zealand,0.0,0.0,0.0
Marshall Islands,Nicaragua,5063.0,0.0,0.0
Marshall Islands,Pakistan,9.0,0.0,0.0
Marshall Islands,Philippines,0.0,3990.0,0.0
Marshall Islands,Portugal,152.0,0.0,0.0
Marshall Islands,Republic of Korea,3351.0,0.0,0.0
Marshall Islands,Singapore,0.0,0.0,0.0
Marshall Islands,South Africa,198.0,0.0,0.0
Marshall Islands,Spain,1987.0,0.0,0.0
Marshall Islands,Thailand,29.0,22951.0,0.0
Marshall Islands,United Kingdom,420.0,1.0,0.0
Marshall Islands,United States,5702.0,760.0,0.0
Marshall Islands,Zimbabwe,1.0,0.0,0.0
Nauru,Australia,0.0,0.0,0.0
Nauru,Austria,0.0,1.0,0.0
Nauru,Canada,6.0,0.0,0.0
Nauru,China,1.0,0.0,0.0
Nauru,Costa Rica,0.0,0.0,0.0
Nauru,Czech Republic,73.0,10.0,0.0
Nauru,Côte d'Ivoire,0.0,0.0,0.0
Nauru,Finland,0.0,0.0,0.0
Nauru,France,4.0,0.0,0.0
Nauru,India,2.0,0.0,0.0
Nauru,Luxembourg,0.0,0.0,0.0
Nauru,Pakistan,0.0,0.0,0.0
Nauru,Peru,0.0,0.0,0.0
Nauru,Philippines,0.0,1736.0,0.0
Nauru,Republic of Korea,89.0,672.0,0.0
Nauru,Seychelles,0.0,2.0,0.0
Nauru,Singapore,7.0,0.0,0.0
Nauru,Slovakia,0.0,0.0,0.0
Nauru,Slovenia,1.0,0.0,0.0
Nauru,South Africa,0.0,0.0,0.0
Nauru,Thailand,0.0,8721.0,0.0
Nauru,Turkey,0.0,0.0,0.0
Nauru,United Kingdom,1.0,0.0,0.0
Nauru,United States,0.0,0.0,0.0
Nauru,Zambia,0.0,0.0,0.0
Niue,Australia,0.0,0.0,1.0
Niue,Azerbaijan,0.0,0.0,0.0
Niue,Canada,0.0,0.0,0.0
Niue,Colombia,0.0,0.0,0.0
Niue,Croatia,0.0,0.0,26.0
Niue,Czech Republic,0.0,0.0,0.0
Niue,France,0.0,0.0,0.0
Niue,Germany,0.0,0.0,0.0
Niue,Mauritius,0.0,2.0,0.0
Niue,New Zealand,3.0,0.0,0.0
Niue,Poland,0.0,0.0,0.0
Niue,Republic of Korea,1.0,0.0,0.0
Niue,Serbia,0.0,0.0,0.0
Niue,Singapore,0.0,0.0,0.0
Niue,Slovakia,0.0,0.0,0.0
Niue,Slovenia,0.0,0.0,0.0
Niue,South Africa,0.0,0.0,0.0
Niue,Thailand,0.0,0.0,0.0
Niue,Turkey,0.0,0.0,0.0
Niue,United Arab Emirates,0.0,0.0,0.0
Niue,United States,0.0,0.0,0.0
Niue,Zambia,0.0,0.0,0.0
Palau,China,0.0,0.0,75.0
Palau,Czech Republic,0.0,0.0,0.0
Palau,France,0.0,0.0,0.0
Palau,Germany,0.0,0.0,0.0
Palau,India,71.0,0.0,0.0
Palau,Ireland,0.0,0.0,0.0
Palau,Japan,0.0,1384.0,0.0
Palau,Republic of Korea,38.0,0.0,0.0
Palau,Russian Federation,0.0,0.0,0.0
Palau,Rwanda,0.0,0.0,0.0
Palau,Slovakia,0.0,0.0,0.0
Palau,South Africa,14.0,0.0,0.0
Palau,United Arab Emirates,0.0,0.0,0.0
Palau,United States,0.0,33.0,0.0
Papua New Guinea,Australia,590567.0,128.0,2688.0
Papua New Guinea,Austria,0.0,349.0,0.0
Papua New Guinea,Belgium,0.0,361.0,0.0
Papua New Guinea,Brunei Darussalam,52.0,0.0,0.0
Papua New Guinea,Bulgaria,7142.0,0.0,14.0
Papua New Guinea,Canada,0.0,0.0,0.0
Papua New Guinea,China,3553565.0,6466.0,2995782.0
Papua New Guinea,"China, Macao SAR",0.0,0.0,0.0
Papua New Guinea,Croatia,0.0,51.0,0.0
Papua New Guinea,Cyprus,0.0,17.0,0.0
Papua New Guinea,Czech Republic,0.0,0.0,0.0
Papua New Guinea,Denmark,0.0,153.0,0.0
Papua New Guinea,Ecuador,0.0,2.0,0.0
Papua New Guinea,Finland,0.0,0.0,0.0
Papua New Guinea,France,58.0,3206.0,11.0
Papua New Guinea,Germany,11830.0,14998.0,65.0
Papua New Guinea,Greece,0.0,170.0,0.0
Papua New Guinea,Hong Kong,102712.0,429.0,178.0
Papua New Guinea,Hungary,0.0,0.0,0.0
Papua New Guinea,Iceland,0.0,1.0,0.0
Papua New Guinea,India,1078.0,0.0,129486.0
Papua New Guinea,Indonesia,79978.0,0.0,0.0
Papua New Guinea,Ireland,0.0,0.0,0.0
Papua New Guinea,Italy,2.0,4080.0,15.0
Papua New Guinea,Japan,4175276.0,1129.0,52876.0
Papua New Guinea,Latvia,0.0,17.0,0.0
Papua New Guinea,Lithuania,0.0,16.0,0.0
Papua New Guinea,Luxembourg,0.0,34.0,0.0
Papua New Guinea,Malaysia,158046.0,76.0,6324.0
Papua New Guinea,Malta,0.0,34.0,0.0
Papua New Guinea,Mauritius,0.0,0.0,0.0
Papua New Guinea,Netherlands,1.0,5164.0,0.0
Papua New Guinea,New Zealand,38.0,0.0,3830.0
Papua New Guinea,Pakistan,0.0,0.0,561.0
Papua New Guinea,Philippines,4887.0,94777.0,4257.0
Papua New Guinea,Poland,0.0,62.0,0.0
Papua New Guinea,Portugal,0.0,597.0,0.0
Papua New Guinea,Republic of Korea,586064.0,170.0,63861.0
Papua New Guinea,Russian Federation,0.0,0.0,1.0
Papua New Guinea,Seychelles,0.0,496.0,0.0
Papua New Guinea,Singapore,374244.0,587.0,367.0
Papua New Guinea,Slovenia,0.0,17.0,0.0
