Exporting country,Importing country,"Oil, metals and mineral products",Seafood products,Wood products
Cook Islands,Austria,2000.0,0.0,0.0
Cook Islands,Belarus,1000.0,0.0,0.0
Cook Islands,Canada,2000.0,0.0,0.0
Cook Islands,Chile,0.0,0.0,0.0
Cook Islands,China,0.0,1211000.0,0.0
Cook Islands,Colombia,31000.0,0.0,0.0
Cook Islands,Czech Republic,211000.0,0.0,1000.0
Cook Islands,France,1000.0,0.0,0.0
Cook Islands,Germany,36000.0,0.0,0.0
Cook Islands,Indonesia,3000.0,243000.0,0.0
Cook Islands,Japan,0.0,11343000.0,0.0
Cook Islands,Luxembourg,0.0,0.0,5000.0
Cook Islands,Mauritius,17000.0,0.0,0.0
Cook Islands,New Zealand,102000.0,0.0,0.0
Cook Islands,Peru,0.0,426000.0,0.0
Cook Islands,Poland,1000.0,0.0,0.0
Cook Islands,Portugal,0.0,0.0,0.0
Cook Islands,Russian Federation,0.0,0.0,0.0
Cook Islands,Singapore,4000.0,0.0,2000.0
Cook Islands,Slovakia,334000.0,0.0,0.0
Cook Islands,Slovenia,1000.0,0.0,0.0
Cook Islands,South Africa,6000.0,0.0,0.0
Cook Islands,Spain,0.0,0.0,0.0
Cook Islands,Thailand,1971000.0,4367000.0,0.0
Cook Islands,United Kingdom,2000.0,0.0,0.0
Cook Islands,United States,2000.0,8000.0,0.0
Federated States of Micronesia,Brazil,0.0,0.0,0.0
Federated States of Micronesia,Chile,3000.0,0.0,0.0
Federated States of Micronesia,China,0.0,12050000.0,0.0
Federated States of Micronesia,"China, Macao SAR",0.0,6000.0,0.0
Federated States of Micronesia,France,0.0,7000.0,0.0
Federated States of Micronesia,Germany,0.0,12000.0,0.0
Federated States of Micronesia,Hong Kong,0.0,16000.0,0.0
Federated States of Micronesia,Indonesia,0.0,3728000.0,0.0
Federated States of Micronesia,Japan,3000.0,13199000.0,0.0
Federated States of Micronesia,Netherlands,0.0,2000.0,0.0
Federated States of Micronesia,New Zealand,19000.0,0.0,0.0
Federated States of Micronesia,Peru,0.0,70000.0,0.0
Federated States of Micronesia,Philippines,0.0,3002000.0,0.0
Federated States of Micronesia,Republic of Korea,249000.0,576000.0,0.0
Federated States of Micronesia,Thailand,0.0,95878000.0,0.0
Federated States of Micronesia,United Kingdom,0.0,63000.0,0.0
Federated States of Micronesia,United States,0.0,1086000.0,0.0
Fiji,American Samoa,1346000.0,8292000.0,0.0
Fiji,Argentina,0.0,6000.0,0.0
Fiji,Armenia,0.0,0.0,0.0
Fiji,Australia,53365000.0,286000.0,551000.0
Fiji,Austria,0.0,4000.0,1000.0
Fiji,Bangladesh,985000.0,0.0,0.0
Fiji,Belgium,0.0,0.0,1000.0
Fiji,Belize,0.0,0.0,2000.0
Fiji,Bermuda,0.0,104000.0,0.0
Fiji,Br. Virgin Isds,0.0,0.0,1000.0
Fiji,Canada,221000.0,182000.0,192000.0
Fiji,Chile,2000.0,0.0,0.0
Fiji,China,4837000.0,21207000.0,3510000.0
Fiji,Colombia,0.0,2000.0,41000.0
Fiji,Croatia,0.0,0.0,14000.0
Fiji,Czech Republic,9000.0,17000.0,0.0
Fiji,Dem. Rep. Korea,0.0,0.0,0.0
Fiji,Denmark,0.0,0.0,1000.0
Fiji,Dominica,0.0,0.0,62000.0
Fiji,Dominican Republic,0.0,0.0,1460000.0
Fiji,Estonia,5000.0,0.0,0.0
Fiji,Finland,0.0,0.0,0.0
Fiji,France,28000.0,5662000.0,4000.0
Fiji,French Polynesia,14000.0,0.0,58000.0
Fiji,Germany,120000.0,322000.0,5000.0
Fiji,Guam,1000.0,0.0,0.0
Fiji,Honduras,0.0,3000.0,0.0
Fiji,Hong Kong,1925000.0,576000.0,310000.0
Fiji,Hungary,0.0,0.0,0.0
Fiji,India,555000.0,0.0,8000.0
Fiji,Indonesia,79000.0,511000.0,24000.0
Fiji,Ireland,0.0,0.0,0.0
Fiji,Israel,0.0,0.0,23000.0
Fiji,Italy,3000.0,15000.0,3000.0
Fiji,Jamaica,0.0,0.0,8000.0
Fiji,Japan,15000.0,18018000.0,44929000.0
Fiji,Kuwait,0.0,15000.0,0.0
Fiji,Malaysia,0.0,10000.0,0.0
Fiji,Malta,0.0,0.0,0.0
Fiji,Mexico,0.0,0.0,3000.0
Fiji,Morocco,0.0,57000.0,0.0
Fiji,Namibia,0.0,5000.0,0.0
Fiji,Netherlands,1000.0,4717000.0,15000.0
Fiji,New Caledonia,1118000.0,0.0,4000.0
Fiji,New Zealand,18566000.0,3087000.0,697000.0
Fiji,Norway,15000.0,0.0,0.0
Fiji,Pakistan,0.0,38000.0,0.0
Fiji,Philippines,57000.0,0.0,0.0
Fiji,Poland,7000.0,0.0,0.0
Fiji,Portugal,0.0,13000.0,0.0
Fiji,Republic of Korea,2955000.0,364000.0,158000.0
Fiji,Russian Federation,2000.0,1000.0,0.0
Fiji,Singapore,6580000.0,9000.0,5000.0
Fiji,Slovakia,3000.0,0.0,0.0
Fiji,Slovenia,0.0,0.0,0.0
Fiji,South Africa,13000.0,29000.0,3000.0
Fiji,Spain,0.0,2235000.0,0.0
Fiji,Sri Lanka,10000.0,244000.0,0.0
Fiji,Sweden,0.0,0.0,0.0
Fiji,Switzerland,8000.0,0.0,1000.0
Fiji,Thailand,0.0,9277000.0,113000.0
Fiji,Timor-Leste,220000.0,37000.0,0.0
Fiji,Turkey,8000.0,0.0,0.0
Fiji,Uganda,0.0,0.0,0.0
Fiji,United Arab Emirates,668000.0,0.0,21000.0
Fiji,United Kingdom,7000.0,274000.0,13000.0
Fiji,United States,1091000.0,79138000.0,2850000.0
Fiji,Vietnam,0.0,14839000.0,63000.0
Kiribati,Brazil,0.0,0.0,0.0
Kiribati,Canada,14000.0,0.0,0.0
Kiribati,China,0.0,1825000.0,0.0
Kiribati,Ecuador,0.0,437000.0,0.0
Kiribati,France,0.0,0.0,0.0
Kiribati,Germany,0.0,64000.0,0.0
Kiribati,Japan,0.0,7695000.0,0.0
Kiribati,Philippines,327000.0,14435000.0,0.0
Kiribati,Republic of Korea,52000.0,3693000.0,0.0
Kiribati,Singapore,0.0,1000.0,0.0
Kiribati,Thailand,0.0,46819000.0,0.0
Kiribati,United Arab Emirates,29000.0,0.0,0.0
Kiribati,United States,8000.0,2853000.0,0.0
Marshall Islands,Australia,5000.0,29000.0,0.0
Marshall Islands,Brazil,39000.0,0.0,0.0
Marshall Islands,Cambodia,0.0,0.0,2138000.0
Marshall Islands,Chile,1000.0,0.0,0.0
Marshall Islands,China,313000.0,42587000.0,0.0
Marshall Islands,Ecuador,20531000.0,0.0,0.0
Marshall Islands,France,4000.0,0.0,0.0
Marshall Islands,Germany,92000.0,0.0,0.0
Marshall Islands,Ghana,129000.0,0.0,0.0
Marshall Islands,Greece,5000.0,0.0,0.0
Marshall Islands,Hong Kong,0.0,61000.0,0.0
Marshall Islands,India,70000.0,0.0,0.0
Marshall Islands,Indonesia,150000.0,924000.0,0.0
Marshall Islands,Israel,220000.0,0.0,52000.0
Marshall Islands,Japan,12000.0,3441000.0,0.0
Marshall Islands,Kuwait,0.0,2000.0,0.0
Marshall Islands,Morocco,0.0,0.0,0.0
Marshall Islands,Namibia,43000.0,0.0,0.0
Marshall Islands,New Zealand,21000.0,0.0,0.0
Marshall Islands,Nicaragua,3462000.0,0.0,0.0
Marshall Islands,Pakistan,19000.0,0.0,0.0
Marshall Islands,Philippines,0.0,6211000.0,0.0
Marshall Islands,Portugal,11000.0,0.0,0.0
Marshall Islands,Republic of Korea,1425000.0,0.0,0.0
Marshall Islands,Singapore,0.0,0.0,0.0
Marshall Islands,South Africa,6000.0,0.0,0.0
Marshall Islands,Spain,1247000.0,0.0,0.0
Marshall Islands,Thailand,16000.0,34115000.0,0.0
Marshall Islands,United Kingdom,375000.0,9000.0,0.0
Marshall Islands,United States,1106000.0,6996000.0,0.0
Marshall Islands,Zimbabwe,1000.0,0.0,0.0
Nauru,Australia,5000.0,0.0,0.0
Nauru,Austria,0.0,12000.0,0.0
Nauru,Canada,107000.0,0.0,0.0
Nauru,China,6000.0,0.0,0.0
Nauru,Costa Rica,1000.0,0.0,0.0
Nauru,Czech Republic,74000.0,20000.0,0.0
Nauru,Côte d'Ivoire,1000.0,0.0,0.0
Nauru,Finland,5000.0,0.0,0.0
Nauru,France,6000.0,0.0,0.0
Nauru,India,21000.0,0.0,0.0
Nauru,Luxembourg,1000.0,0.0,0.0
Nauru,Pakistan,1000.0,0.0,0.0
Nauru,Peru,0.0,0.0,0.0
Nauru,Philippines,0.0,2863000.0,0.0
Nauru,Republic of Korea,26000.0,917000.0,0.0
Nauru,Seychelles,3000.0,42000.0,0.0
Nauru,Singapore,50000.0,0.0,0.0
Nauru,Slovakia,0.0,0.0,0.0
Nauru,Slovenia,5000.0,0.0,0.0
Nauru,South Africa,2000.0,0.0,0.0
Nauru,Thailand,0.0,10987000.0,0.0
Nauru,Turkey,1000.0,0.0,0.0
Nauru,United Kingdom,10000.0,0.0,0.0
Nauru,United States,33000.0,0.0,0.0
Nauru,Zambia,0.0,3000.0,0.0
Niue,Australia,0.0,0.0,4000.0
Niue,Azerbaijan,0.0,2000.0,0.0
Niue,Canada,0.0,0.0,0.0
Niue,Colombia,2000.0,0.0,0.0
Niue,Croatia,0.0,0.0,45000.0
Niue,Czech Republic,12000.0,0.0,0.0
Niue,France,6000.0,0.0,0.0
Niue,Germany,6000.0,0.0,0.0
Niue,Mauritius,0.0,8000.0,0.0
Niue,New Zealand,9000.0,0.0,0.0
Niue,Poland,1000.0,0.0,0.0
Niue,Republic of Korea,5000.0,0.0,0.0
Niue,Serbia,0.0,0.0,0.0
Niue,Singapore,1000.0,0.0,0.0
Niue,Slovakia,0.0,0.0,0.0
Niue,Slovenia,2000.0,0.0,0.0
Niue,South Africa,1000.0,0.0,0.0
Niue,Thailand,1000.0,0.0,0.0
Niue,Turkey,2000.0,0.0,0.0
Niue,United Arab Emirates,2000.0,0.0,0.0
Niue,United States,73000.0,0.0,0.0
Niue,Zambia,0.0,0.0,0.0
Palau,China,0.0,0.0,26000.0
Palau,Czech Republic,17000.0,0.0,0.0
Palau,France,30000.0,7000.0,0.0
Palau,Germany,2000.0,8000.0,0.0
Palau,India,2000.0,0.0,0.0
