Year,Exporting country,Importing country,Product category,hs4,hs2,Value of the trade flow (thousands current USD),Quantity (in metric tons),Category,code,description
2019,Solomon Isds,Australia,271000,2710,27,0.937,0.016,"Oil, metals and mineral products",271000,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils"
2019,Solomon Isds,Australia,710811,7108,71,2229.055,0.054,"Oil, metals and mineral products",710811,"Metals: gold, non-monetary, powder"
2019,Solomon Isds,Australia,711411,7114,71,1.805,0.002,"Oil, metals and mineral products",711411,"Silversmiths' wares: and parts thereof, of silver, whether or not plated or clad with other precious metal"
2019,Solomon Isds,Australia,711810,7118,71,22.31,0.033,"Oil, metals and mineral products",711810,"Coin (other than gold coin), not being legal tender"
2019,Solomon Isds,Australia,720429,7204,72,16.926,42.27,"Oil, metals and mineral products",720429,Ferrous waste and scrap: of alloy steel (excluding stainless)
2019,Solomon Isds,Australia,720449,7204,72,10.968,3334.04,"Oil, metals and mineral products",720449,Ferrous waste and scrap: n.e.c. in heading no. 7204
2019,Solomon Isds,Australia,760200,7602,76,78.218,112.91,"Oil, metals and mineral products",760200,Aluminium: waste and scrap
2019,Solomon Isds,Bosnia Herzegovina,820559,8205,82,0.08,0.007,"Oil, metals and mineral products",820559,"Tools, hand: other hand tools (including glaziers diamonds), excluding household tools, drilling, threading or tapping tools, hammers and sledge hammers, planes, chisels, gouges and similar cutting tools for working wood, and screwdrivers"
2019,Solomon Isds,Brazil,731821,7318,73,0.337,0.005,"Oil, metals and mineral products",731821,Iron or steel: non-threaded spring washers and other lock washers
2019,Solomon Isds,Canada,722691,7226,72,2.154,1.359,"Oil, metals and mineral products",722691,"Steel, alloy: flat-rolled, width less than 600mm, (excluding silicon-electrical or high speed steel), hot-rolled"
2019,Solomon Isds,Canada,731822,7318,73,0.099,0.011,"Oil, metals and mineral products",731822,"Iron or steel: non-threaded washers, excluding spring and lock"
2019,Solomon Isds,Canada,731829,7318,73,0.007,,"Oil, metals and mineral products",731829,"Iron or steel: non-threaded articles, n.e.c. in item no. 7318.2"
2019,Solomon Isds,Canada,820210,8202,82,0.107,,"Oil, metals and mineral products",820210,"Tools, hand: hand saws"
2019,Solomon Isds,Canada,820220,8202,82,0.207,,"Oil, metals and mineral products",820220,"Tools, hand: band saw blades"
2019,Solomon Isds,Canada,830249,8302,83,0.003,,"Oil, metals and mineral products",830249,"Mountings, fittings and similar articles: suitable for other than buildings or furniture, of base metal"
2019,Solomon Isds,China,260600,2606,26,51770.196,1187753.8,"Oil, metals and mineral products",260600,Aluminium ores and concentrates
2019,Solomon Isds,Colombia,730792,7307,73,0.056,,"Oil, metals and mineral products",730792,"Iron or steel: tube or pipe fittings, threaded elbows, bends and sleeves, other than stainless steel"
2019,Solomon Isds,Fiji,731512,7315,73,0.082,0.034,"Oil, metals and mineral products",731512,"Chain: articulated link, (other than roller), of iron or steel"
2019,Solomon Isds,Fiji,731600,7316,73,0.245,0.034,"Oil, metals and mineral products",731600,"Iron or steel: anchors, grapnels and parts thereof"
2019,Solomon Isds,Fiji,731819,7318,73,0.289,0.034,"Oil, metals and mineral products",731819,"Iron or steel: threaded screws, bolts and nuts n.e.c. in item no. 7318.1"
2019,Solomon Isds,Fiji,732393,7323,73,0.329,0.033,"Oil, metals and mineral products",732393,"Steel, stainless: table, kitchen and other household articles and parts thereof"
2019,Solomon Isds,Fiji,821192,8211,82,0.064,0.002,"Oil, metals and mineral products",821192,"Knives: having fixed cutting blades, (other than table knives), serrated or not, excluding knives and blades of heading no. 8208"
2019,Solomon Isds,France,711419,7114,71,0.687,0.031,"Oil, metals and mineral products",711419,"Goldsmiths' wares: articles of and parts thereof, of precious metal (excluding silver) whether or not plated or clad with precious metal"
2019,Solomon Isds,France,711810,7118,71,387.592,3.152,"Oil, metals and mineral products",711810,"Coin (other than gold coin), not being legal tender"
2019,Solomon Isds,France,761699,7616,76,1.668,0.174,"Oil, metals and mineral products",761699,Aluminium: articles n.e.c. in heading 7616
2019,Solomon Isds,France,830629,8306,83,0.165,0.003,"Oil, metals and mineral products",830629,Statuettes and other ornaments: of base metal other than plated with precious metal
2019,Solomon Isds,"China, Hong Kong SAR",760200,7602,76,173.564,204.208,"Oil, metals and mineral products",760200,Aluminium: waste and scrap
